"","Stk.design","accuracy","kappa","AOA","Val_hit","Val_over","runtime"
"1","FFS1_tp1_c15",1,1,0.8769,0.9225,0.3955,"75.8373 secs"
"2","FFS1_tp1_c30",0.9874,0.9744,0.9507,0.9435,0.4018,"111.5724 secs"
"3","FFS1_tp1_c45",0.9573,0.9245,0.9438,0.9486,0.4438,"185.3143 secs"
"4","FFS1_tp1_c60",0.943,0.892,0.9293,0.9386,0.3851,"391.7613 secs"
"5","FFS1_tp1_c75",0.9127,0.8285,0.928,0.9476,0.3927,"599.0262 secs"
"6","FFS1_tp1_c90",0.8853,0.775,0.9295,0.9559,0.4036,"810.4355 secs"
"7","FFS1_tp2_c15",0.8919,0.7776,0.9252,0.9222,0.4608,"63.8097 secs"
"8","FFS1_tp2_c30",0.8812,0.7426,0.9524,0.8863,0.3747,"83.1061 secs"
"9","FFS1_tp2_c45",0.9287,0.7215,0.9396,0.9053,0.3612,"174.2472 secs"
"10","FFS1_tp2_c60",0.8361,0.6375,0.9195,0.8456,0.3664,"249.3279 secs"
"11","FFS1_tp2_c75",0.8236,0.5951,0.9229,0.891,0.3476,"553.5846 secs"
"12","FFS1_tp2_c90",0.8081,0.5439,0.9054,0.8135,0.3566,"594.8857 secs"
